,Posts
0,dharma pal Nice song﻿
1,Tiza Arellano I love song ﻿
2,Prìñçeśś Âliś Łøvê Dømíñø Mâđiś™ ﻿ I love song ﻿
3,"Eric Gonzalez 860,000,000 lets make it first female to reach one billion!! Share it and replay it! ﻿"
4,Analena López shakira is best for worldcup﻿
5,jehoiada wellington The best world cup song ever!!!!﻿
6,Kara Cuthbertson I love﻿
7,Sudheer Yadav SEE SOME MORE SONG OPEN GOOGLE AND TYPE Shakira GuruOfMovie﻿
8,Alex John Awesome ﻿
9,Nirab Valobasha I like shakira..﻿
10,Chelsea Andrews Shakira - Waka Waka <br />LOVE THIS SONG!!!!!!!!!!!!!!!﻿
11,Kevin Sosa Why so many disliked??????!!!!!!😯﻿
12,OldSchool Music I don&#39;t think this song will ever get old ﻿
13,Stephen Lister Love song﻿
14,Karolína Hlavatá wery good﻿
15,"DubCedSky Every time I hear this song, I think about Iniesta&#39;s goal against the Netherlands...﻿"
16,akita hachiko Whose watching this in 2015. If so hi-5﻿
17,Benjy Growls I love this song so much &lt;3<br />Keep em&#39; coming!﻿
18,monkey moments i love this song thumsb up to you﻿
19,Dr.geetanjali sharma Waka best one﻿
20,Axy665 5 years later i still love this song <br />~Axy665﻿
21,celma joao tomas anacuja anacuja celma joao tomas Like﻿
22,Raafat saeed Check out this playlist on YouTube:﻿
23,ortiz brown Her voice sounds weird and plus she&#39;s cute for a blonde﻿
24,"mike the greek gamer Why there are so many dislikes. This song is so... awesome. It sounds like we MUST STOP BE RACISTS!!! If I could, I would like it 1,000,000,000 times!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿"
25,Aveonne Walker Nice love itttttttt wurkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk﻿
26,MikeTheOne42 still watching in 2015...﻿
27,Golden Lion Shakira is my favourite singer. Wooooo﻿
28,Coc Chitthu i remember this song!
29,vuong quang Like﻿
30,Ryan Ramma Whose who are watching this in 2015.  LIKE!﻿
31,"Terry Short Support the fight for your 4th amendment right to privacy in your home.  Stop the NSA spying on Americans with the un Patriot Act Renewal. Rand Paul has spent 10.5 hours on the Senate floor in a Protest and Filibuster fighting for our  Constitution that this Nation is founded on. Join the fight at Rand Paul dot com. Spread The Word. We Have Someone That Cares About Our Nation.  Email your Senators, Congress men and women, tell them to support Rand. Tell the news to support Rand too Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m00s"">1:00</a> am this passed Saturday morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters join Rand in the fight to protect <a href=""http://it.ht"">it.ht</a> to privacy in your home and business.. Senator Rand Paul was up until <a href=""http://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m00s"">1:00</a> am this passed Saturday  morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters To All Of US, Help Rand Protect It by joining the fright for it.﻿"
32,marko kacar best song in world﻿
33,ovidiu mitricioiu BEAUTIFUL
34,Agung Handono Susilo Good song:-)﻿
35,Nimesh Nambiar She&#39;s such an awesome entertainer. And pretty too! &lt;3 Shakira!﻿
36,‫حلم الشباب‬‎ Check out this video on YouTube:﻿
37,Zcoria Kelly Love this song﻿
38,Spider Girl Love this song! My soccer team made a cd for our couch with this song on it!﻿
39,Ernest Foli fave song﻿
40,Laura Gray Watching in 2015﻿
41,Trygve Nilsen I felt old when I realized that this song was 5 years old...﻿
42,Сергей Андреевич love Shakira!﻿
43,adey lanre One of the best song of all the time﻿
44,bossdon redhouse I really am madly in love with this woman!!﻿
45,Eidya Pal i totally love this song. absolutely fantastic! i love ya shakira!﻿
46,Ed Garcon im still watching in 2015﻿
47,rachel perez the song is sad﻿
48,Ibtihal Baho goood﻿
49,Viv Varghese The best FIFA world cup song for sure.﻿
50,Thiago Andrade Nice vídeo shakira good﻿
51,"Abdullah Fawzi coby this USL and past :<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX<br />delete space after y﻿"
52,"Abdullah Fawzi see this<br /><a href=""http://adf.ly"">http://adf.ly</a> /1HmVtX﻿"
53,Nash Alema Waka waka﻿
54,Russian soldier sniper she is beautiful but it is not American!﻿
55,Toby Bywater Thumbs up if your watching in 2015﻿
56,Mohammed Yousef ILOVETHISSONG﻿
57,JH Simene Subscribe me please. i&#39;ll promise i&#39;ll sub back﻿
58,MmmHmmm Lamest World Cup song ever! This time FOR Africa? You mean IN Africa. It wasn&#39;t a Live Aid event or something. She made it seem like a charity case for them instead of a proud moment. Where was Ricky Martin when you needed him! SMH﻿
59,Angelica Figueroa My friend Sam loves this song😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊﻿
60,Syed Akbar Ali Check out this video on YouTube:﻿
61,Oreoluwa Ajjayi I love you﻿
62,"Eric Gonzalez To help shakira become the first female to hit 1billiom views, I&#39;ve decided to watch this Video at least one a day. Everyday! Shakifans we r so close just hit the replay button !!!﻿"
63,‫كيكه وستايلي فيكه كيكه وستايلي فيكه‬‎ ILove shakira ﻿
64,Tierra Carbon It was cool the best song ever ﻿
65,Lala Ella OMG LISTEN TO THIS ITS SOO GOOD!! :D﻿
66,Alexander Solli My uncle said he will stop smoking if this comment gets 500 likes! Please like this comment! Thanks.﻿
67,Arvind Pandey nice song﻿
68,Abdou Abdou waka waka﻿
69,MOHAMED THASLEEM super music﻿
70,Haolin Tan How could 108k people dislike this song or video﻿
71,Lupitaochoa Dieciseis Love it!!!!!!!!!!!!!!!!💜﻿
72,Carmen W I swear Shakira keeps getting more and more gorgeous! She definitely looks more gorgeous with her hair this way than super curly.﻿
73,Hamilton44 Youtube comments be like<br />This is so 5 years ago. ﻿
74,Leedl bagginshield it pisses me off a bit that blank space has more views (868 mio) than this. meh ﻿
75,Athena Gomez Your the best♣♥﻿
76,Athena Gomez I love you ;p﻿
77,Anastasia Trevla I love Shakira !!!!!! ❤🎵🎶🎼🎸﻿
78,"Jessica Onyekwere This song is special, because is a song for Africa and I am an African ﻿"
79,GamingWith Kim &lt;3 this song so much.SHAKIRA YOUR A REALLY GOOD ARTIST.﻿
80,Raphael Lipusch I love shakira<br />❤❤❤❤﻿
81,"rtfamily Definitley the song for 2010 when im not listening to gypsy SHAKIRA ROCKS<br /><span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/101721377578919894134"" oid=""101721377578919894134"">shakiraVEVO</a></span>﻿"
82,KAM IL I remember that torunament like it was today.﻿
83,Madalynn Miller Thank you. Please give your email. ﻿
84,ashwini praveena beautiful﻿
85,Karol Martinez Restrepo Martinez Like﻿
86,"Hidayet Özsoy Shakira you are so beautiful. You are lovely, lively.. We love you.﻿"
87,Рустем Ахметов GREAT!!!﻿
88,Orlando Saeroon Best World Cup Song﻿
89,redouane najja Fuck it was the best ever 0687119038 nummber of patrik kluivert his son share !﻿
90,Manish Ray This song is so beauty
91,Misako Detenamo I heard this when I was only 6 years old and I still love it﻿
92,Naseeb Jan nice song﻿
93,Martis Zelvis waka waka:-):-):-)﻿
94,alejandro rojas Oh my god go to 1 billion of replay i love shakira﻿
95,Dunrell Pinder i love her﻿
96,Angie Vazquez I love this song &amp;I love shakira&lt;333♡♡♡♡♡♡♡♡♡♡♡《33☆☆☆﻿
97,Hermen De Greef Yea stil the best WK song ever<br />Thumbs up of you think the same<br />﻿
98,bilal bilo I liked<br />﻿
99,twee gekkos I like this song ﻿
100,Robin Turnbull i like it :)﻿
101,Jobs Ho 何祯喬 Waka waka !!!﻿
102,Lucia Scarlet Amazing song﻿
103,Wiki Smolinska Cool song ﻿
104,black tiger i love u  shakira﻿
105,Octavia W Waka waka ﻿
106,Elena Macchiaverna this song sucks﻿
107,The Emerald Minecraft Lol I love this song﻿
108,Shakira Forever Shakira﻿
109,AlabaGames Subscribe my channel  I RECORDING FIFA 15 GOALS WATCH NOW :D﻿
110,Tillolo79 Wow...5 years<br />﻿
111,Free Video Tv subscribe to me and I wil subscribe to you back﻿
112,Olda87 CZ You best singer﻿
113,Дмитрий Гаврилов 5 years soon!﻿
114,Berthe Etale Bengue Like﻿
115,liliana ciancio Wanderfol is love or miusic﻿
116,Diego Donzelli waka waka﻿
117,Debora Favacho (Debora Sparkle) BEST SONG EVER X3333333333﻿
118,"林思鳳 Very pleasant to hear, haha, good.﻿"
119,Mahya Roohi love!!!!﻿
120,strong heart wow
121,Ec Martinez Waka waka eh eh﻿
122,Napoleon Maldia Cutie girl and beautiful song
123,Camila Rodrigues Love you shkira﻿
124,"Trollsif Stalin I believe that soccer promotes terrorism. Bad choice, Shakira.﻿"
125,Ayano Hattori I loved this song when I was in my teenage years!﻿
126,John Wilkie Lip synch is terrible﻿
127,"Lili♥ Shakira is different :) She is so happy all the time and she is spending for Africa :)<br />She can dance , sing and she speaks 4 languages﻿"
128,Lucas Bonini Gusttavo Lima Você não me conhece <br />Check out﻿
129,ibrahim kula Best world cup offical song﻿
130,THE GAMER OF TOMORROW 5 years ago damn ﻿
131,Basanagowda Policepatil Very nice
132,"Ruchira Naidu Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views.<br />(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)<br /><a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0"">https://www.youtube.com/watch?v=pRpeEdMmmQ0</a>﻿"
133,Play Now like me﻿
134,vimal singhania SHAKIRA SONG WAKA WAKA﻿
135,Dara O So underrated better<br />Than Katy perry :/ but in not saying Katy is bad but she has no meaning to her songs. Shakira has<br />Meaningful songs these are the songs which bring memories and vibe&#39;s. I will miss it. <br /> ﻿
136,Samuel Hsu I love this song and expect the World Cup .﻿
137,Matheus Ribeiro Good times ...﻿
138,"LiveLikeLien x It makes me happy instantly, and makes me forgot everything bad happening!﻿"
139,LiveLikeLien x Love this song so much! One of my faves! Xxx﻿
140,"Kalle Eklund Hi, nice song Shakira! (Sorry for bad Brazilian)﻿"
141,Mohamed Anhari BEST SONG! GO SHAKI :D﻿
142,SmokinBlue THIS IS SHIT AND SOOOOO AUTOTUNED﻿
143,Tomke Brate ....I stil lisening this :)﻿
144,KILLER SVK sexy shakira﻿
145,LaiLa Steudle I love you Shakiria!!!!!!﻿
146,LaiLa Steudle Me and my aunt love this song!!!!!﻿
147,nosa bella I subscribed it<br />﻿
148,C Williams Check out this playlist on YouTube<br />﻿
149,Lizle Productions Top three Shakira songs (my choice) <br /><br />1- Waka Waka (it&#39;s time for Africa)<br /><br />2- Can&#39;t remember to forget you <br /><br />3- Empire<br /><br />Like this comment if u like Shakira ﻿
150,gamila Khalil Check out this video on YouTube:﻿
151,Nancy Kiragu Check out this playlist on YouTube:Central ﻿
152,"RezAIIDay If you could take time &amp; spare a min to read this, then thank you. <br /><br />Im a rapper, if we&#39;re gonna be honest theres thousands maybe even millions<br /><br />of those in the world but not too many with ambition, dedication &amp; passion.<br /><br />I don&#39;t have money for huge YouTube advertisements or incredible music videos<br /><br />so all im left with is comments to expose my music.<br /><br />If you could take a moment and give me a chance ill make you a believer<br /><br />I would love? nothing more than a loyal following on YouTube. For anyone who <br /><br />Reads this could you press the &quot;THUMBS UP&quot;  others will see it.<br /><br />Doing so will help me push closer to my dream :) Thank You﻿"
153,GALAXIAN HD please visit my channel﻿
154,‫انس الغامدي‬‎ Pleas subscribe my channel GamezZMTA﻿
155,GamezZ MTA Pleas subscribe my channel﻿
156,joory amora Pleas subscribe GamezZ MTA my channel<br />﻿
157,"Simon Morales cool song check out my animal trafficking petition.<br /><a href=""http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick"">http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick</a>﻿"
158,Felipe Browne Check out this video on YouTube: ﻿
159,CliP ArT shoW Subscribe and Win a CAP<br /> ☆☆☆☆☆﻿
160,Pauline Martinez Check out this playlist on YouTube:﻿
161,Hawa Bah Hey guys love this but check out this girl name cause she knows how to dance so search up ej ba dancing.﻿
162,"Si Ham if you want to win money at hopme click here <a href=""https://www.paidverts.com/ref/sihaam01"">https://www.paidverts.com/ref/sihaam01</a> it&#39;s work 100/100﻿"
163,GALAXIAN HD i am from Brazil please subscribe my channel love you all﻿
164,Robloxia Asap Could Spanish people understand this?<br /><br />Any way&#39;s I how you doing subscribe to me I brake things<br /><br />-_-﻿
165,How To PLEASSSSSSSSSSSSSSSS SUBSCRIBEEEEEEEEEE MY CHANNNNNNELLL PLZZ﻿
166,mariam shoja Check out this video on YouTube:﻿
167,"Marius Dima New way to make money easily and spending 20 minutes daily --&gt; <a href=""https://www.paidverts.com/ref/Marius1533"">https://www.paidverts.com/ref/Marius1533</a>﻿"
168,Jet Lee There are beautiful songs please subscribe﻿
169,500 Subscribers with no videos? Can this channel get 500+ subscribers? You can make that happen :D﻿
170,"Ali Reza Nipu I really love watching football and also I’ve started off making income with out financial risk from acquiring bonus deals. It’s this weird technique where you wager on something with one bookmakers and bet against it on Betfair. You secure the bonus as income . A chap named Jim Vanstone is finding the wagers free on his own website Vanstone Secrets (Google it!). I’ve made about 500 quid thus far. And it is cost-free. I guess the bookies pay him to obtain new consumers, yet this actually works."
171,angela pollman and how many subscribers compared to her over a million
172,"mile panika I absolutely adore watching football plus I’ve started earning income with out risk from claiming bonus deals. It’s a weird technique where you put money on something with one bookmakers and put money against it on Betfair. You acquire the bonus as income . A lad named Jim Vanstone is selecting the wagers free on his website Vanstone Secrets (Google it!). I have generated about 600 quid so far. And it’s free. I assume the bookmakers pay him to get new men and women, but it succeeds."
173,AllDailyVines hahahahah ♥♥♥♥ :D like vines ? Subscribe to me for daily vines
174,"prem kumar Hi there, have you heard about DribbleProShot? Just do a search on Google. On their web site you can watch a smart free video featuring the best way to significantly boost your football aka soccer skills in no time... It turned Nick into a much better football or soccer player...His team mates were definitily amazed! I hope it will help you also..."
175,"rijia babu Hey, have you tried &quot;DribblePROshot&quot; yet? Just do a search on Google. On their website you will find a useful free video demonstrating the right way to enormously improve your soccer or football skills in no time... It transformed Fausto into a substantially better football/soccer player...to the amazement of his team mates. Hopefully it works for you too."
176,"lildeneiro Still amazing this song!! I did a French Kpop Parody. Please come on my Channel to watch it. Share, suscribe, comment Thanks"
177,real money subscribe to my feed
178,AllDailyVines :D subscribe to me for daily vines
179,"celebsongspoof Hey guys whats up? I found this app that lets you get free gift card vouchers like psn cards,X-box live cards and even amazon gift cards. For free! All you have to do is simply just download the app from the app store. It is called juno wallet. All you have to do is just sign up for the app and then complete a few surveys or just download some other free apps and you get money like 10 cents. Also, if you type in the code IM2458444. You will also start off with $0.25 free!! "
180,"Laura Brown You guys should check out this EXTRAORDINARY website called FIREPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at FIREPA.COM ! Visit FIREPA.COM and check it out! Lake . Duzafizz . Singlewave . Spourmo . Burder . Colorful . Claster . Incandescent . Ambitious . Winooze . Absorbing . Macabre . Crestboot . Boxium . Womanly . Tan . Ybuwyn . Forgetful . Pepelexa . Zealous"
181,FreshisYummy Waka Waka!:D Check out my new HALLOWEEN VIDEO!:)
182,Ferdi David we are 14 year old boys we are trying to enter in the music industry Maybe we are just a dreamers but we are not the? only one. Please give us one chance to prove ourself to you. we know these things are annoying as hell we are sorry? about that. But we do anything to get music heard. Please visit our channel subscribe if you like and thumb this comment up so everyone can see we have made a song called: I Wanna Play A Game please take a look on our channel Thankss!!!
183,Ishfaq khan plz i wilsubscribe me frndzzl subscribe u back
184,"Derek Moya You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Why does the fragile swim enlist the person? How does the ice audit the frequent son? The fantastic chance describes the rate."
185,VideoPro SUBSCRIBE ME AND I REQUITE
186,"James Cook Stop Wasting Up Your Time and Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR... Only at 4NetJobs.com Work from the Comfort of your Home... We are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube. You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com"
187,Mayla Stephens I love this!!!!! This is one of my fave songs now and I just subscribed :) :) :)
188,"Scott Johnson You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! Why does the statement conciliate the acidic stretch? The earth recognizes the money. When does the numberless number transport the trade?"
189,HowToMakeALotOfMoneyFast How To Make A Lot Of Money Fast
190,link chick visit &quot; ww estiloproduction com &quot; best website to make money
191,BloggerGaming2229 Message : GTA V $20 FIFA 14 $15 PS4 $200 Galaxy S4 mini $250 Ipad 4 $200 visit the site hh.nl
192,"James Cook Stop Wasting Up Your Time and Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR... Only at 4NetJobs.com Work from the Comfort of your Home... We are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube. You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com"
193,Steven Slater Being paid to respond to fast paid surveys from home has enabled me to give up working and make more than 4500 bucks monthly. To read more go to this web site bit.ly\1bSefQe
194,"James Cook Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com"
195,"Louis Bryant You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The meat discusss the successful memory. How does the peaceful unit arbitrate the guide? The addition designs the worried loss."
196,"Louis Bryant You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the mother approve the axiomatic insurance? The fear appoints the roll. When does the space prepare the historical shame?"
197,"Louis Bryant You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The plausible summer submits the behavior. When does the grass check the peaceful seat? The country strategizes the edge."
198,The NeedleWork Check out my channel :)
199,high tems subscribe my
200,"James Cook Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com"
201,Merabi Mazmaniani Please visit this Website: oldchat.tk
202,Merabi Mazmaniani Please visit this Website: oldchat.tk
203,"Anderson St. Martin Hello everyone my name&#39;s Anderson and i&#39;m a singer. not expecting to buy subscribers with words BUT to gain them with my voice. I might not be the best but my voice is different (in a good way) and i&#39;ll work harder than anyone out there to get better, &#39;cuz &quot;yeah&quot; i have a dream a HUGE one, (who doesn&#39;t?) so please take 3 minutes of your time to check out my covers. Give me a chance you won&#39;t regret it If you feel like subscribing that&#39;d be awesome and it&#39;d mean the world to me THANK YOU SO MUCH"
204,latrell brown Check Out Daneja Good Girl
205,"OnlineJobs99 Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com"
206,WhatUKnow Subscribe to my Youtube Channel!! :) Suscribite a mi canal de Youtube -WhatUKnow
207,jameskileymusic Check out my bass cover of hips don&#39;t lie by shakira!
208,WhatUKnow Subscribe to my channel :) &lt;3
209,Hadrien Robalo Marques The britishs called that soccer but you know the true word is football and the US Foot is called rugby. That works like that in EUW ( Germany/ Netherland/ France/ Portugal/ Belgium/ Spain/ ... ) Just because the Britishs don&#39;t agree to be like us because they are UNIQUE. That&#39;s the reason why they also refused to have euro (€) as money
210,Su Xianfeng subscribe now!!!!!! love the song!!!!!! love football!!!
211,tyler sleetway so beutiful
212,tyler sleetway so beutiful
213,Gabriella Korotasz She&#39;s so pretty
214,Masreya .. I like
215,5000palo She is perfect
216,emoclew71 1 753 682 421 GANGNAM STYLE ^^
217,Capo Crimini Your a fucking bitch
218,WhipCreamOnTop this song is racist
219,Odín000 Where are Shakifans?
220,Aliens Studios like!!!!!
221,5000palo I want new song
222,Alain Bruno Shakira is perfect
223,5000palo Shakira :-*
224,Directioner For Life I remember this :D
225,Tydings Jay Waka waka
